ID,ProductName,Price
1,product_A,447
2,product_B,146
3,product_C,583
4,product_D,461
5,product_A,564
6,product_B,894
7,product_C,941
8,product_D,791
9,product_A,329
10,product_A,645
11,product_B,205
12,product_C,386
13,product_D,712
14,product_A,785
15,product_B,846
16,product_C,942
17,product_D,72
18,product_A,76
19,product_A,279
20,product_B,932
21,product_C,924
22,product_D,721
23,product_A,111
24,product_B,18
25,product_C,508
26,product_D,326
27,product_A,519
28,product_A,424
29,product_B,436
30,product_C,532
31,product_D,819
32,product_A,711
33,product_B,471
34,product_C,776
35,product_D,120
36,product_A,837
37,product_A,804
38,product_B,117
39,product_C,984
40,product_D,280
41,product_A,656
42,product_B,582
43,product_C,273
44,product_D,411
45,product_A,902
46,product_A,971
47,product_B,909
48,product_C,116
49,product_D,378
50,product_A,766
51,product_B,267
52,product_C,573
53,product_D,484
54,product_A,599
55,product_A,515
56,product_B,26
57,product_C,767
58,product_D,484
59,product_A,377
60,product_B,775
61,product_C,688
62,product_D,215
63,product_A,236
64,product_A,657
65,product_B,735
66,product_C,844
67,product_D,648
68,product_A,188
69,product_B,48
70,product_C,767
71,product_D,652
72,product_A,630
73,product_A,975
74,product_B,529
75,product_C,755
76,product_D,242
77,product_A,135
78,product_B,466
79,product_C,308
80,product_D,654
81,product_A,891
82,product_A,193
83,product_B,164
84,product_C,156
85,product_D,458
86,product_A,938
87,product_B,613
88,product_C,47
89,product_D,182
90,product_A,467
91,product_A,822
92,product_B,631
93,product_C,706
94,product_D,196
95,product_A,25
96,product_B,80
97,product_C,13
98,product_D,714
99,product_A,873
100,product_A,14
101,product_B,107
102,product_C,645
103,product_D,756
104,product_A,72
105,product_B,994
106,product_C,784
107,product_D,575
108,product_A,488
109,product_A,293
110,product_B,628
111,product_C,376
112,product_D,649
113,product_A,831
114,product_B,614
115,product_C,714
116,product_D,508
117,product_A,42
118,product_A,251
119,product_B,441
120,product_C,846
121,product_D,893
122,product_A,702
123,product_B,283
124,product_C,740
125,product_D,663
126,product_A,194
127,product_A,243
128,product_B,932
129,product_C,217
130,product_D,835
131,product_A,173
132,product_B,643
133,product_C,89
134,product_D,341
135,product_A,456
136,product_A,232
137,product_B,263
138,product_C,120
139,product_D,592
140,product_A,465
141,product_B,828
142,product_C,371
143,product_D,158
144,product_A,167
145,product_A,480
146,product_B,520
147,product_C,324
148,product_D,728
149,product_A,461
150,product_B,105
151,product_C,763
152,product_D,776
153,product_A,972
154,product_A,319
155,product_B,950
156,product_C,734
157,product_D,451
158,product_A,150
159,product_B,610
160,product_C,509
161,product_D,513
162,product_A,630
163,product_A,757
164,product_B,905
165,product_C,135
166,product_D,552
167,product_A,399
168,product_B,87
169,product_C,873
170,product_D,30
171,product_A,660
172,product_A,19
173,product_B,199
174,product_C,632
175,product_D,808
176,product_A,814
177,product_B,418
178,product_C,897
179,product_D,566
180,product_A,810
181,product_A,863
182,product_B,880
183,product_C,804
184,product_D,786
185,product_A,144
186,product_B,393
187,product_C,491
188,product_D,596
189,product_A,755
190,product_A,975
191,product_B,102
192,product_C,718
193,product_D,713
194,product_A,221
195,product_B,936
196,product_C,507
197,product_D,901
198,product_A,834
199,product_A,704
200,product_B,790
201,product_C,681
202,product_D,713
203,product_A,505
204,product_B,91
205,product_C,501
206,product_D,354
207,product_A,42
208,product_A,69
209,product_B,682
210,product_C,499
211,product_D,970
212,product_A,917
213,product_B,134
214,product_C,584
215,product_D,213
216,product_A,105
217,product_A,998
218,product_B,484
219,product_C,848
220,product_D,85
221,product_A,641
222,product_B,692
223,product_C,375
224,product_D,934
225,product_A,850
226,product_A,70
227,product_B,615
228,product_C,737
229,product_D,91
230,product_A,395
231,product_B,72
232,product_C,513
233,product_D,728
234,product_A,418
235,product_A,860
236,product_B,927
237,product_C,110
238,product_D,357
239,product_A,866
240,product_B,475
241,product_C,738
242,product_D,548
243,product_A,127
244,product_A,582
245,product_B,473
246,product_C,811
247,product_D,759
248,product_A,669
249,product_B,303
250,product_C,644
251,product_D,211
252,product_A,836
253,product_A,200
254,product_B,221
255,product_C,881
256,product_D,596
257,product_A,409
258,product_B,128
259,product_C,222
260,product_D,997
261,product_A,675
262,product_A,762
263,product_B,178
264,product_C,431
265,product_D,390
266,product_A,181
267,product_B,242
268,product_C,862
269,product_D,437
270,product_A,351
271,product_A,595
272,product_B,783
273,product_C,731
274,product_D,867
275,product_A,344
276,product_B,852
277,product_C,109
278,product_D,89
279,product_A,809
280,product_A,653
281,product_B,225
282,product_C,277
283,product_D,498
284,product_A,759
285,product_B,842
286,product_C,394
287,product_D,499
288,product_A,594
289,product_A,584
290,product_B,504
291,product_C,507
292,product_D,737
293,product_A,447
294,product_B,740
295,product_C,92
296,product_D,644
297,product_A,365
298,product_A,703
299,product_B,295
300,product_C,938
301,product_D,974
302,product_A,261
303,product_B,607
304,product_C,592
305,product_D,461
306,product_A,165
307,product_A,250
308,product_B,957
309,product_C,981
310,product_D,659
311,product_A,202
312,product_B,639
313,product_C,648
314,product_D,571
315,product_A,836
316,product_A,108
317,product_B,804
318,product_C,820
319,product_D,75
320,product_A,837
321,product_B,438
322,product_C,78
323,product_D,926
324,product_A,376
325,product_A,449
326,product_B,64
327,product_C,384
328,product_D,320
329,product_A,582
330,product_B,65
331,product_C,844
332,product_D,122
333,product_A,752
334,product_A,407
335,product_B,813
336,product_C,117
337,product_D,13
338,product_A,584
339,product_B,114
340,product_C,349
341,product_D,183
342,product_A,556
343,product_A,447
344,product_B,262
345,product_C,244
346,product_D,90
347,product_A,357
348,product_B,590
349,product_C,290
350,product_D,632
351,product_A,282
352,product_A,522
353,product_B,981
354,product_C,651
355,product_D,888
356,product_A,191
357,product_B,107
358,product_C,296
359,product_D,199
360,product_A,287
361,product_A,429
362,product_B,531
363,product_C,243
364,product_D,444
365,product_A,381
366,product_B,16
367,product_C,912
368,product_D,951
369,product_A,860
370,product_A,273
371,product_B,305
372,product_C,976
373,product_D,421
374,product_A,312
375,product_B,123
376,product_C,796
377,product_D,973
378,product_A,969
379,product_A,797
380,product_B,906
381,product_C,97
382,product_D,582
383,product_A,703
384,product_B,945
385,product_C,929
386,product_D,822
387,product_A,283
388,product_A,694
389,product_B,225
390,product_C,200
391,product_D,783
392,product_A,25
393,product_B,396
394,product_C,142
395,product_D,127
396,product_A,78
397,product_A,98
398,product_B,810
399,product_C,985
400,product_D,268
401,product_A,531
402,product_B,975
403,product_C,425
404,product_D,842
405,product_A,28
406,product_A,902
407,product_B,920
408,product_C,968
409,product_D,995
410,product_A,928
411,product_B,78
412,product_C,217
413,product_D,266
414,product_A,744
415,product_A,377
416,product_B,691
417,product_C,411
418,product_D,329
419,product_A,572
420,product_B,76
421,product_C,150
422,product_D,321
423,product_A,656
424,product_A,530
425,product_B,309
426,product_C,971
427,product_D,613
428,product_A,948
429,product_B,476
430,product_C,94
431,product_D,481
432,product_A,981
433,product_A,409
434,product_B,121
435,product_C,795
436,product_D,78
437,product_A,1000
438,product_B,663
439,product_C,105
440,product_D,780
441,product_A,796
442,product_A,787
443,product_B,427
444,product_C,580
445,product_D,461
446,product_A,244
447,product_B,999
448,product_C,761
449,product_D,331
450,product_A,736
451,product_A,160
452,product_B,467
453,product_C,512
454,product_D,161
455,product_A,520
456,product_B,187
457,product_C,644
458,product_D,588
459,product_A,133
460,product_A,115
461,product_B,125
462,product_C,11
463,product_D,225
464,product_A,959
465,product_B,798
466,product_C,723
467,product_D,394
468,product_A,659
469,product_A,62
470,product_B,680
471,product_C,874
472,product_D,217
473,product_A,25
474,product_B,511
475,product_C,601
476,product_D,506
477,product_A,451
478,product_A,180
479,product_B,244
480,product_C,231
481,product_D,803
482,product_A,921
483,product_B,33
484,product_C,964
485,product_D,391
486,product_A,769
487,product_A,703
488,product_B,801
489,product_C,885
490,product_D,625
491,product_A,659
492,product_B,668
493,product_C,890
494,product_D,377
495,product_A,173
496,product_A,406
497,product_B,958
498,product_C,446
499,product_D,85
500,product_A,767
501,product_B,61
502,product_C,591
503,product_D,963
504,product_A,360
505,product_A,260
506,product_B,459
507,product_C,960
508,product_D,475
509,product_A,357
510,product_B,803
511,product_C,811
512,product_D,560
513,product_A,387
514,product_A,997
515,product_B,830
516,product_C,244
517,product_D,742
518,product_A,599
519,product_B,50
520,product_C,724
